"Qubit","T1 (us)","T2 (us)","Frequency (GHz)","Anharmonicity (GHz)","Readout assignment error ","Prob meas0 prep1 ","Prob meas1 prep0 ","Readout length (ns)","ID error ","√x (sx) error ","Pauli-X error ","ECR error ","Gate time (ns)","Operational"
"31","204.04879952289053","189.63521666999577","4.839774014725372","-0.3084406817400851","0.005800000000000027","0.0050000000000000044","0.0066","1400","0.00013320686273215131","0.00013320686273215131","0.00013320686273215131","31_30:0.008569683198373229;31_32:0.005049630674279049","31_30:660;31_32:660","true"
"32","379.0155774771993","161.15469225087736","4.665202021354444","-0.30998842157162854","0.014100000000000001","0.0146","0.013599999999999945","1400","0.00016852523893702578","0.00016852523893702578","0.00016852523893702578","","","true"
"33","50.89342256160684","15.298999754157506","4.822962992909523","-0.30430713299383766","0.01539999999999997","0.023399999999999976","0.0074","1400","0.0005441751704798836","0.0005441751704798836","0.0005441751704798836","33_20:0.01080326966791953","33_20:660","true"
"34","268.0667785448502","19.460568046223774","4.804601641333265","-0.3082463291933374","0.07420000000000004","0.0606","0.08779999999999999","1400","0.0003870560631247836","0.0003870560631247836","0.0003870560631247836","","","true"
"35","13.971708032661741","25.637260883464677","4.865281321531446","-0.30823309297517987","0.027900000000000036","0.03200000000000003","0.0238","1400","0.0038873759096610377","0.0038873759096610377","0.0038873759096610377","35_47:0.022758219599894713","35_47:660","true"
"36","406.16517095036835","194.25631713364402","4.730251814779412","0","0.008599999999999941","0.008199999999999985","0.009","1400","0.00008575930809892096","0.00008575930809892096","0.00008575930809892096","36_32:0.005259969804520037","36_32:660","true"
"37","209.34852655261898","53.93282568916631","4.93633941723509","-0.3061260220579156","0.008899999999999908","0.007399999999999962","0.0104","1400","0.0001432450245841282","0.0001432450245841282","0.0001432450245841282","37_52:0.005509006476837303;37_38:0.0034030369549762907","37_52:660;37_38:660","true"
"38","311.2324047642185","229.4423143062363","4.81296477059301","-0.3090441982328432","0.03420000000000001","0.031","0.03739999999999999","1400","0.0001664409993520112","0.0001664409993520112","0.0001664409993520112","","","true"
"39","301.2742222734604","168.92628316607056","4.6997118471611135","-0.3088854355334065","0.012299999999999978","0.008199999999999985","0.0164","1400","0.00016190707814534627","0.00016190707814534627","0.00016190707814534627","39_33:0.010011701582539723;39_38:0.004510094559974892","39_33:660;39_38:660","true"
"40","86.83051696815372","8.910042550608546","4.892191913019969","-0.30769778101539386","0.005299999999999971","0.0033999999999999586","0.0072","1400","0.0003315750415522421","0.0003315750415522421","0.0003315750415522421","40_41:0.005907101652791291;40_39:0.0037592108962205273","40_41:660;40_39:660","true"
"41","183.08887707338803","98.7651527294343","4.993952118400648","-0.30666988456443384","0.035700000000000065","0.0366","0.03480000000000005","1400","0.0002120932112631044","0.0002120932112631044","0.0002120932112631044","","","true"
"42","142.85557165712774","9.60607088076553","4.789258222739777","-0.3092189965130921","0.005900000000000016","0.00660000000000005","0.0052","1400","0.00031396560917962323","0.00031396560917962323","0.00031396560917962323","42_41:0.006572860157471688;42_43:0.005360688674697467","42_41:660;42_43:660","true"
"43","375.69056920649643","22.23778976135989","4.930800176288615","-0.3075347075601374","0.01990000000000003","0.019399999999999973","0.0204","1400","0.0017753279165616028","0.0017753279165616028","0.0017753279165616028","43_34:0.016109338522261818;43_44:0.005453118617671421","43_34:660;43_44:660","true"
"44","399.11782342815746","21.610220060078746","4.826605273880156","-0.30878481550927667","0.00880000000000003","0.0106","0.007000000000000006","1400","0.000165093141292569","0.000165093141292569","0.000165093141292569","","","true"
"45","319.58932404444505","422.5547418576987","4.924032672315414","-0.3071097576761717","0.029000000000000026","0.031","0.027000000000000024","1400","0.0004898169197437216","0.0004898169197437216","0.0004898169197437216","45_54:0.007294387250100676;45_46:0.006523146644570321;45_44:0.005035628379164048","45_54:660;45_46:660;45_44:660","true"
"46","354.8958263715977","336.0394261239428","4.853325137392674","-0.30865419833002966","0.15749999999999997","0.15139999999999998","0.1636","1400","0.0001225312351791797","0.0001225312351791797","0.0001225312351791797","46_47:0.004727009667071014","46_47:660","true"
"47","199.73723090462573","33.115237317626175","4.79772954529181","-0.3090685843813135","0.011900000000000022","0.0128","0.01100000000000001","1400","0.00023535731661656758","0.00023535731661656758","0.00023535731661656758","","","true"
