"Qubit","T1 (us)","T2 (us)","Frequency (GHz)","Anharmonicity (GHz)","Readout assignment error ","Prob meas0 prep1 ","Prob meas1 prep0 ","Readout length (ns)","ID error ","√x (sx) error ","Pauli-X error ","ECR error ","Gate time (ns)","Operational"
"0","289.14421906981016","333.0308333272089","4.822513681272649","-0.30896613792557315","0.05010000000000003","0.07499999999999996","0.0252","1400","0.00011300073513959556","0.00011300073513959556","0.00011300073513959556","","","true"
"1","123.3765927141185","208.6525021044406","4.7726914593215755","-0.3102210761952548","0.012199999999999989","0.012399999999999967","0.012","1400","0.0002142955370761043","0.0002142955370761043","0.0002142955370761043","1_0:0.013708445791213136","1_0:660","true"
"2","246.12861276370003","256.7312085695993","4.71830318674519","-0.3104037776462388","0.041200000000000014","0.0534","0.029","1400","0.0002117270599266103","0.0002117270599266103","0.0002117270599266103","2_3:0.006221838459653989;2_1:0.006833842370249338","2_3:660;2_1:660","true"
"3","358.36603208229815","393.96847594920666","4.800162199549131","-0.30888128433002476","0.03420000000000001","0.0428","0.025599999999999956","1400","0.00025893606179072784","0.00025893606179072784","0.00025893606179072784","3_4:0.020547991371564683","3_4:660","true"
"4","283.43538160001003","175.7254513517521","4.8328691888694335","-0.308629272986329","0.024900000000000033","0.024","0.025800000000000045","1400","0.00016154870716309267","0.00016154870716309267","0.00016154870716309267","","","true"
"5","245.7508015538039","272.42583047762747","4.660676295231339","-0.31065594686359554","0.012199999999999989","0.0116","0.012800000000000034","1400","0.00016760134070875447","0.00016760134070875447","0.00016760134070875447","5_4:0.007859185375125283","5_4:660","true"
"6","310.5292131930601","271.3134561625257","4.906967820978464","-0.3068148235588046","0.008900000000000019","0.008199999999999985","0.0096","1400","0.00011148793369869884","0.00011148793369869884","0.00011148793369869884","6_7:0.005842873846663127;6_5:0.006571902204939806","6_7:660;6_5:660","true"
"7","368.3225013668057","90.9863625970305","4.719564464243571","-0.31037202891110505","0.005099999999999993","0.0054","0.0048000000000000265","1400","0.0002630865168537293","0.0002630865168537293","0.0002630865168537293","7_8:0.019734485048999995","7_8:660","true"
"8","334.88877148951985","16.131016195792007","4.63564379653082","-0.28702409316453614","0.03400000000000003","0.036599999999999966","0.0314","1400","0.0026754768141601898","0.0026754768141601898","0.0026754768141601898","8_16:1","8_16:660","true"
"9","435.7463916452498","83.07822848200499","4.71674322418445","-0.3104073125859284","0.03760000000000008","0.0148","0.06040000000000001","1400","0.0003660372933637017","0.0003660372933637017","0.0003660372933637017","9_8:0.019695949400974022;9_10:0.006898890335235303","9_8:660;9_10:660","true"
"10","274.07229162106796","338.1131948232305","4.669419430734833","0","0.05459999999999998","0.05","0.05920000000000003","1400","0.000136457492931154","0.000136457492931154","0.000136457492931154","","","true"
"11","195.7288826399974","188.34476732160905","4.725294265691071","-0.3101830225622285","0.061000000000000054","0.05400000000000005","0.068","1400","0.00039121311870540744","0.00039121311870540744","0.00039121311870540744","11_10:0.009030627322382828","11_10:660","true"
"12","412.33325821709485","132.09693860510902","4.682909919677578","-0.31013218093198514","0.02950000000000008","0.0278","0.031200000000000006","1400","0.00013296397549043923","0.00013296397549043923","0.00013296397549043923","12_11:0.009361541570140769","12_11:660","true"
"13","284.28226092712816","69.59065344172858","4.729968772584959","0","0.007600000000000051","0.0098","0.00539999999999996","1400","0.0004998590556367703","0.0004998590556367703","0.0004998590556367703","13_12:0.004582675704933148","13_12:660","true"
"14","210.77576136716175","27.580951376051033","4.740322594308553","-0.31041215354308554","0.08820000000000006","0.0826","0.0938","1400","0.0003203649727829135","0.0003203649727829135","0.0003203649727829135","14_0:0.008896605105559147;14_18:0.0061013766153305005","14_0:660;14_18:660","true"
"15","289.5567170063273","224.54677599005183","4.669108676771674","-0.31131069353860613","0.005900000000000016","0.005800000000000027","0.006","1400","0.00024317588650884568","0.00024317588650884568","0.00024317588650884568","15_4:0.01372014877272737","15_4:660","true"
"16","7.717159571191255","332.4258176295806","4.686079832907678","0","0.4387","0.4468","0.4306","1400","0.046165690727967064","0.046165690727967064","0.046165690727967064","16_26:1","16_26:660","true"
"17","306.31854742920484","207.0531529858442","4.880423237068677","-0.30671781899604517","0.028999999999999915","0.034399999999999986","0.0236","1400","0.00014149192864092183","0.00014149192864092183","0.00014149192864092183","17_12:0.003283831987527852;17_30:0.0051853673108839815","17_12:660;17_30:660","true"
"18","462.00035441673623","79.42981589862039","4.652670061993644","-0.3108671975016885","0.0033000000000000806","0.0038","0.0028000000000000247","1400","0.0001621411710534582","0.0001621411710534582","0.0001621411710534582","18_19:0.013311116351969715","18_19:660","true"
"19","329.5589626792299","142.80379541573046","4.878870411688535","-0.30848203027556864","0.007600000000000051","0.006399999999999961","0.0088","1400","0.0003452941422898497","0.0003452941422898497","0.0003452941422898497","","","true"
"20","249.60120261159327","199.2076402463642","4.65083099241513","-0.31198978446892245","0.017199999999999993","0.0182","0.016199999999999992","1400","0.00021165708882079257","0.00021165708882079257","0.00021165708882079257","20_19:0.011372676499454976","20_19:748","true"
"21","350.15621777996404","118.50289008694763","4.568037789622239","0","0.019100000000000006","0.027800000000000047","0.0104","1400","0.00026324578499765147","0.00026324578499765147","0.00026324578499765147","21_20:0.005269162690386658;21_22:0.004558469131459547","21_20:660;21_22:660","true"
"22","415.79006538840696","267.5562024848781","4.768017373017802","-0.31007976218914873","0.06640000000000001","0.06120000000000003","0.0716","1400","0.00016128710359236876","0.00016128710359236876","0.00016128710359236876","22_15:0.005203365189386716","22_15:660","true"
"23","420.15069917948006","138.64864326314463","4.826036011439937","-0.30896459047936825","0.005199999999999982","0.0050000000000000044","0.0054","1400","0.00012855502216582154","0.00012855502216582154","0.00012855502216582154","23_22:0.005389044518988556","23_22:660","true"
"24","271.6343403058908","194.98442614163565","5.019757843511629","-0.30541425054676014","0.008499999999999952","0.012599999999999945","0.0044","1400","0.00024616363955318773","0.00024616363955318773","0.00024616363955318773","24_34:0.005928334101920979;24_23:0.019309899586752777;24_25:0.005841610031250305","24_34:660;24_23:660;24_25:660","true"
"25","235.17278301277014","223.30092800630013","4.841816323337054","-0.3086237066221388","0.0040999999999999925","0.006","0.0021999999999999797","1400","0.00021525422504460118","0.00021525422504460118","0.00021525422504460118","25_26:0.004594905733990379","25_26:660","true"
"26","272.7054656887129","16.931331163550848","4.763742588892019","-0.30945351875840205","0.007900000000000018","0.0078","0.008000000000000007","1400","0.00036868515821248163","0.00036868515821248163","0.00036868515821248163","","","true"
"27","348.9902475234532","189.67227308722568","4.886548555294062","0","0.011199999999999988","0.010399999999999965","0.012","1400","0.0001601239083889753","0.0001601239083889753","0.0001601239083889753","27_28:0.004327629297246061;27_26:0.0032960272684392222","27_28:660;27_26:660","true"
"28","236.98469246159516","39.527789045924614","4.701216301208415","-0.3099488275329216","0.006099999999999994","0.008000000000000007","0.0042","1400","0.0005044174094156091","0.0005044174094156091","0.0005044174094156091","28_35:0.10922690058103184;28_29:0.005429621083427816","28_35:660;28_29:660","true"
"29","469.87859771424417","249.99675000761738","4.744282492277943","-0.31029420415842046","0.006299999999999972","0.007399999999999962","0.0052","1400","0.0002938085707142109","0.0002938085707142109","0.0002938085707142109","","","true"
"30","173.24540281452062","97.63892914920969","4.922259404903824","-0.30754311932801587","0.050999999999999934","0.05479999999999996","0.0472","1400","0.00033699008398705804","0.00033699008398705804","0.00033699008398705804","30_29:0.008364207968403203","30_29:660","true"
"31","296.90941720284593","237.60325602347106","4.83978026776569","-0.3084406817400851","0.00660000000000005","0.008600000000000052","0.0046","1400","0.0002623137373125802","0.0002623137373125802","0.0002623137373125802","31_30:0.006237718625951516;31_32:0.007319281257926191","31_30:660;31_32:660","true"
"32","368.85238209953656","156.43130825388081","4.6651381620872865","-0.30998842157162854","0.005700000000000038","0.0054","0.006000000000000005","1400","0.00009533286363976249","0.00009533286363976249","0.00009533286363976249","","","true"
"33","31.94895013754523","13.776024000118667","4.823096118110012","-0.30430713299383766","0.02980000000000005","0.0442","0.01539999999999997","1400","0.000913283356519198","0.000913283356519198","0.000913283356519198","33_20:0.017180054081702395","33_20:660","true"
"34","38.016857650588854","107.38732442840164","4.804638155072678","-0.3082463291933374","0.012199999999999989","0.011399999999999966","0.013","1400","0.0001850475675362839","0.0001850475675362839","0.0001850475675362839","","","true"
"35","55.89865417614205","93.76422269601801","4.86532436932025","-0.30823309297517987","0.06919999999999993","0.11580000000000001","0.0226","1400","0.001496577415848026","0.001496577415848026","0.001496577415848026","35_47:0.0973478250526056","35_47:660","true"
"36","420.47989045490334","175.21347744638226","4.730255465293782","0","0.010699999999999932","0.012399999999999967","0.009","1400","0.00014509116219043957","0.00014509116219043957","0.00014509116219043957","36_32:0.0036118761615644146","36_32:660","true"
"37","318.66721696931404","50.0335787854544","4.936339498008847","-0.3061260220579156","0.01100000000000001","0.0096","0.012399999999999967","1400","0.00012290999428490719","0.00012290999428490719","0.00012290999428490719","37_52:0.004700844616637223;37_38:0.004478988981805293","37_52:660;37_38:660","true"
"38","318.3411338462315","264.9591326973979","4.812938676077908","-0.3090441982328432","0.03820000000000001","0.0298","0.046599999999999975","1400","0.00012235477414971574","0.00012235477414971574","0.00012235477414971574","","","true"
"39","293.10496977877415","176.77885288262013","4.699712115687751","-0.3088854355334065","0.006199999999999983","0.008","0.0043999999999999595","1400","0.00017733629742334322","0.00017733629742334322","0.00017733629742334322","39_33:0.013231226952574643;39_38:0.005457926920166473","39_33:660;39_38:660","true"
"40","86.83051696815372","8.175113848932925","4.892202104178699","-0.30769778101539386","0.006699999999999928","0.007199999999999984","0.0062","1400","0.0003434387053004475","0.0003434387053004475","0.0003434387053004475","40_41:0.011140111169452183;40_39:0.0035216607723961846","40_41:660;40_39:660","true"
"41","170.0736539004205","97.21580733075638","4.9939442692139036","-0.30666988456443384","0.03710000000000002","0.0452","0.029000000000000026","1400","0.0005489953577994766","0.0005489953577994766","0.0005489953577994766","","","true"
"42","147.82059027254587","7.895906520284306","4.7892692149068035","-0.3092189965130921","0.007600000000000051","0.011199999999999988","0.004","1400","0.0011123767495911175","0.0011123767495911175","0.0011123767495911175","42_41:0.01353439692759642;42_43:0.0062221964021576814","42_41:660;42_43:660","true"
"43","169.9103948892296","161.9924345420462","4.930806934700357","-0.3075347075601374","0.011199999999999988","0.007000000000000006","0.0154","1400","0.00023096768442265825","0.00023096768442265825","0.00023096768442265825","43_34:0.0046566070777329105;43_44:0.004027487118474143","43_34:660;43_44:660","true"
"44","416.450571648327","17.564209456192568","4.826604211484269","-0.30878481550927667","0.010199999999999987","0.012","0.008399999999999963","1400","0.0003372462023699863","0.0003372462023699863","0.0003372462023699863","","","true"
"45","336.6066125201756","346.1483028982209","4.924035212561355","-0.3071097576761717","0.032299999999999995","0.0344","0.030200000000000005","1400","0.0002529056861093204","0.0002529056861093204","0.0002529056861093204","45_54:0.009474084896915702;45_46:0.0034160406234776397;45_44:0.005324338331605699","45_54:660;45_46:660;45_44:660","true"
"46","327.73459281065595","360.9998936924048","4.853321873704222","-0.30865419833002966","0.1766000000000001","0.19320000000000004","0.16","1400","0.000197876226190473","0.000197876226190473","0.000197876226190473","46_47:0.0036663183238469232","46_47:660","true"
"47","199.73723090462573","40.306650678797716","4.797726048085187","-0.3090685843813135","0.008599999999999941","0.0088","0.008399999999999963","1400","0.00015589486712316568","0.00015589486712316568","0.00015589486712316568","","","true"
"48","378.27387220651707","227.37741783302374","4.87376362147188","-0.30796966519372043","0.040000000000000036","0.03979999999999995","0.0402","1400","0.00028858848505290414","0.00028858848505290414","0.00028858848505290414","48_47:0.007537986363878618;48_49:0.010224444343250788","48_47:660;48_49:660","true"
"49","185.3748455967349","60.82877821803827","4.842890256590792","0","0.01079999999999992","0.013399999999999967","0.0082","1400","0.0002967080119956542","0.0002967080119956542","0.0002967080119956542","49_50:0.007384453480725556","49_50:660","true"
"50","223.01356824080563","287.02040010009387","5.0037654629018835","-0.30572919884522587","0.009300000000000086","0.008000000000000007","0.0106","1400","0.00017931234418907003","0.00017931234418907003","0.00017931234418907003","50_51:0.005418305188603562","50_51:660","true"
"51","165.5383019487874","35.89252661847215","4.9320019951725165","-0.30616136401130345","0.023900000000000032","0.0228","0.025000000000000022","1400","0.0001776171858756267","0.0001776171858756267","0.0001776171858756267","51_36:0.005199193652952155","51_36:660","true"
"52","267.9896276280496","70.15962849381023","4.977918704193123","-0.30556697106388314","0.016100000000000003","0.019399999999999973","0.0128","1400","0.00025624646425497746","0.00025624646425497746","0.00025624646425497746","52_56:0.012559915738786509","52_56:660","true"
"53","295.8398637819326","16.749095861175867","4.848816782496711","-0.3075268753502783","0.006800000000000028","0.006800000000000028","0.0068","1400","0.0002502508675153236","0.0002502508675153236","0.0002502508675153236","53_41:0.010660777553591544","53_41:660","true"
"54","369.8425300161761","169.4024675143554","4.878348609371529","-0.3069458254441859","0.028200000000000003","0.016199999999999992","0.0402","1400","0.00032446991169632203","0.00032446991169632203","0.00032446991169632203","","","true"
"55","24.451696640109006","117.2820051461576","4.907301998989244","-0.3073215185005289","0.0121","0.016199999999999992","0.008","1400","0.00040279392701001853","0.00040279392701001853","0.00040279392701001853","55_49:0.004987917953657994","55_49:660","true"
"56","106.75688568572144","66.16441327983269","5.115812952421414","-0.3040137770050246","0.019500000000000073","0.020000000000000018","0.019","1400","0.00033814387835597384","0.00033814387835597384","0.00033814387835597384","","","true"
"57","272.33128330415855","189.3057801952466","4.969359279734705","-0.30548036357040764","0.005800000000000027","0.0040000000000000036","0.0076","1400","0.00016402573932106844","0.00016402573932106844","0.00016402573932106844","57_56:0.007599112722861068;57_58:0.009115122799410513","57_56:660;57_58:660","true"
"58","195.84953610993531","202.96624965518066","4.737302539849237","-0.3112562293028337","0.09750000000000003","0.11580000000000001","0.0792","1400","0.00035987171436910326","0.00035987171436910326","0.00035987171436910326","58_71:0.019081673551837375","58_71:660","true"
"59","381.38860732189636","361.7628852597479","4.901515450233746","-0.3070516806225324","0.01649999999999996","0.016800000000000037","0.0162","1400","0.00023259827035243202","0.00023259827035243202","0.00023259827035243202","59_58:0.012209200581459467;59_60:0.0044225129640450556","59_58:660;59_60:660","true"
"60","323.3329234647381","328.47792586446917","4.937701493704575","-0.3069452313257832","0.031200000000000006","0.027800000000000047","0.0346","1400","0.00015940511130516633","0.00015940511130516633","0.00015940511130516633","60_53:0.003928610071142424","60_53:660","true"
"61","323.8517871609786","245.95364843735564","4.8641761578146925","-0.3089108825350579","0.30499999999999994","0.5","0.11","1400","0.0058757492374876385","0.0058757492374876385","0.0058757492374876385","61_60:1;61_62:1","61_60:660;61_62:660","true"
"62","384.160401326748","190.9597673056188","4.650883379178322","-0.311771769762377","0.013500000000000068","0.020000000000000018","0.007","1400","0.00041820353294808054","0.00041820353294808054","0.00041820353294808054","62_72:0.00469137678567863","62_72:660","true"
"63","410.56198499419673","106.88715773802534","4.882149257684835","-0.3077224207866349","0.0052000000000000934","0.005800000000000027","0.0046","1400","0.00033309172769538327","0.00033309172769538327","0.00033309172769538327","63_62:0.013023438821699235","63_62:660","true"
"64","144.3235506952858","80.87092115193218","4.956155736852438","-0.3072535034857098","0.006799999999999917","0.007199999999999984","0.0064","1400","0.00031306017144865046","0.00031306017144865046","0.00031306017144865046","64_54:0.08767125120215569;64_63:0.015415543961335876","64_54:428;64_63:660","true"
"65","310.093065764648","219.26278609007744","4.761275509180584","-0.30847551722691047","0.01330000000000009","0.0108","0.015800000000000036","1400","0.00017312994340430308","0.00017312994340430308","0.00017312994340430308","65_64:0.0080020261168533","65_64:660","true"
"66","250.07428837754316","14.158203868734564","4.941408489808618","-0.2827533936570362","0.05689999999999995","0.0532","0.06059999999999999","1400","0.002758547078574343","0.002758547078574343","0.002758547078574343","66_73:0.02001221653881416;66_65:0.020132940721553277","66_73:660;66_65:660","true"
