"Qubit","T1 (us)","T2 (us)","Frequency (GHz)","Anharmonicity (GHz)","Readout assignment error ","Prob meas0 prep1 ","Prob meas1 prep0 ","Readout length (ns)","ID error ","√x (sx) error ","Pauli-X error ","ECR error ","Gate time (ns)","Operational"
"0","430.332368223144","159.92878605319743","4.822514334148948","-0.30896613792557315","0.025399999999999978","0.0232","0.027599999999999958","1400","0.0001836655817233316","0.0001836655817233316","0.0001836655817233316","","","true"
"1","245.4376495751658","344.6643822516039","4.772690753405613","-0.3102210761952548","0.011800000000000033","0.015000000000000013","0.0086","1400","0.00019363659749174937","0.00019363659749174937","0.00019363659749174937","1_0:0.005092694849654633","1_0:660","true"
"2","285.9643607589756","305.3422944541957","4.718305896415993","-0.3104037776462388","0.06299999999999994","0.09219999999999995","0.0338","1400","0.00026887512846127966","0.00026887512846127966","0.00026887512846127966","2_3:0.008138213167946329;2_1:0.00716134488729811","2_3:660;2_1:660","true"
"3","346.6922529448779","322.40462676201366","4.800152181555485","-0.30888128433002476","0.030000000000000027","0.0248","0.03520000000000001","1400","0.0002098410344970423","0.0002098410344970423","0.0002098410344970423","3_4:0.03517969928085379","3_4:660","true"
"4","342.0279851061328","205.45573432041354","4.832871034837407","-0.308629272986329","0.11166666666666669","0.08333333333333333","0.14","1400","0.0002484645654369449","0.0002484645654369449","0.0002484645654369449","","","true"
"5","268.7574977025592","322.4690306217696","4.660683795919406","-0.31065594686359554","0.03499999999999992","0.023333333333333334","0.046666666666666634","1400","0.0001327657910451459","0.0001327657910451459","0.0001327657910451459","5_4:0.008398698987616166","5_4:660","true"
"6","184.26701666371972","67.78828440647584","4.90696523009471","-0.3068148235588046","0.006699999999999928","0.007199999999999984","0.0062","1400","0.00010589570787335625","0.00010589570787335625","0.00010589570787335625","6_7:0.00594971698302027;6_5:0.005270618528828486","6_7:660;6_5:660","true"
"7","337.36163602370186","86.24955134719153","4.719575386829308","-0.31037202891110505","0.0041999999999999815","0.0054","0.0030000000000000027","1400","0.00032795651139056804","0.00032795651139056804","0.00032795651139056804","7_8:0.033804413246869","7_8:660","true"
"8","325.8031289266966","4.707219183327275","4.636445636821324","-0.28702409316453614","0.032299999999999995","0.02980000000000005","0.0348","1400","0.0015406819702250747","0.0015406819702250747","0.0015406819702250747","8_16:1","8_16:660","true"
"9","311.1752910942125","59.67071012889262","4.716749619097697","-0.3104073125859284","0.006399999999999961","0.006800000000000028","0.006","1400","0.0004829229307251877","0.0004829229307251877","0.0004829229307251877","9_8:0.025046897909967697;9_10:0.007241389105529739","9_8:660;9_10:660","true"
